,,i15:0,a15:0,15:0,16:0,16:0a,16:1w7,cy17:0,18:1w9,18:1w7,18:2w6,cy19:0,18:3w3,20:0,20:0EE,22:0
4082,712,-27.801,-27.427,-29.259,-28.575,-28.518,-28.397,-29.084,-26.357,-30.864,-32.282,-30.235,,-29.647,-26.442,-29.995
4086,712,-28.191,-28.769,-29.929,-28.418,-28.334,-28.134,-29.094,-25.687,-30.605,-32.66,-30.127,-32.517,-30.755,-26.471,-30.57
4093,690,-28.417,-27.764,-28.237,-28.928,-28.319,-28.259,-29.336,-25.714,-29.907,-32.72,-30.587,,-30.335,-24.975,-29.711
4097,690,-28.348,-27.68,-27.481,-29.065,-28.423,-28.579,-29.434,-26.111,-30.112,-32.613,-30.959,-28.086,-30.51,-27.459,-29.811
4103,690,-28.306,-27.567,-28.177,-28.914,-28.241,-28.262,-29.388,-25.554,-30.134,-31.329,-30.755,-31.386,-33.493,-26.205,-29.492
4107,690,-28.264,-27.531,-27.258,-29.113,-28.457,-28.347,-29.418,-25.454,-30.205,-30.375,-30.661,-31.888,-33.493,-27.822,-29.082
4092,713,-28.454,-27.911,-29.036,-29.526,-28.631,-28.467,-29.267,-26.007,-30.076,-31.866,-30.55,-31.01,-33.424,-27.53,-31.263
4096,713,-28.342,-27.881,-28.45,-29.458,-28.715,-28.605,-29.298,-26.237,-30.135,-33.526,-30.833,-28.208,-33.424,-28.476,-31.263
4102,713,-28.138,-27.543,-28.465,-29.253,-28.551,-28.446,-29.31,-25.908,-30.265,-32.365,-30.441,-30.772,-33.136,-26.759,-31.767
4106,713,-27.754,-27.455,-24.621,-28.539,-28.479,-28.339,-28.468,-25.968,-29.902,-33.546,-30.654,-41.547,-28.326,-26.601,-30.215
4047,709,-28.904,-27.85,-29.561,-27.704,-27.663,-27.814,-28.778,-22.807,-30.14,-32.837,-30.15,-28.826,-30.794,-26.199,-29.825
4052,709,-28.233,-28.174,-29.611,-27.546,-27.502,-27.683,-28.818,-25.109,-30.66,-32.742,-30.5,-27.881,-31.214,-26.05,-31.097
4081,710,-28.352,-27.857,-26.194,-28.123,-28.139,-27.985,-29.489,-25.176,-32.293,-32.953,-30.687,-23.397,-31.55,-26.642,-30.435
4085,710,-28.108,-27.666,-34.384,-28.21,-28.174,-27.959,-29.461,-24.289,-32.158,-32.966,-30.48,-29.799,-33.023,-26.345,-31.437
4080,711,-28.4,-28.2,-28.4,-29.1,-28.4,-28.1,-29.4,-22.3,-31.3,-32.5,-31.3,-25.1,-31.3,-27.2,-32.7
4084,711,-28.3,-27,-29.8,-28.9,-28.4,-28.2,-29.4,-24.3,-31.8,-31.2,-30.7,-31.8,-31.3,-28,-30.9
4091,711,-28.6,-28.2,-30.7,-28.9,-28.3,-28,-29.3,-23.9,-30,-31.7,-30.6,-28.3,-31.1,-26.3,-30.4
4095,711,-28.3,-27.9,-29.3,-28.5,-28.1,-28,-29.3,-23.3,-30.5,-32.5,-30.9,-27.7,-27.7,-26.9,-31.6
4101,711,-27.99,-27.904,-28.277,-28.506,-28.174,-27.833,-29.434,-22.625,-30.316,-29.888,-30.56,-31.506,-31.364,-24.938,-31.09
4105,711,-27.843,-27.64,-29.498,-28.987,-28.452,-28.075,-29.561,-22.339,-31.087,-28.834,-30.725,-40.598,-31.434,-27.325,-29.912
