0,0,0,0,0,0,0,0,sample_nr,290,295,339,371,301,375,293,298,343,367,302,361,291,296,340,341,279,280,281,282,275,276,277,278,344,368,362,365,292,297,341,373,300,376,294,299,345,369,303,363,350,377,342,374,355,0,351,352,353,354,346,370,364,366,283,304,347,378,379,380
0,0,0,0,0,0,0,0,inweight (g),2.056,1.982,2.024,2.027,1.995,2.055,1.977,2.085,1.978,1.984,2.052,1.998,1.974,2.026,2.051,2.017,2.041,2.028,1.985,2.019,2.024,1.993,2.088,2.027,2.033,1.991,2.004,1.967,1.969,2.016,2.017,1.989,1.983,1.955,2.191,2.009,1.999,1.98,2.041,1.985,9.971,10.001,9.974,10.015,10.002,0,9.969,9.888,10.104,9.933,10.065,9.963,10.022,10.034,9.961,9.937,10.102,9.888,10.141,10.001
0,0,0,0,0,0,0,0,split factor,0.2308938212,0.2456046725,0.2356677063,0.2225269174,0.242325856,0.2525926809,0.2555688553,0.2596642774,0.2478034208,0.2495448372,0.235627301,0.235915493,0.2311221945,0.2370688152,0.2546317663,0.2434153207,0.2396138092,0.2406451613,0.2438292195,0.251068025,0.2496397118,0.2507375577,0.2447803688,0.2315276121,0.2321871128,0.2423664122,0.2437421154,0.2293749575,0.2427342256,0.2324985354,0.2434153207,0.2470173947,0.2374781086,0.2326901249,0.210617832,0.2356344458,0.240845704,0.250286016,0.2243371856,0.2415031975,0.2379820238,0.2434933652,0.4769478679,0.4872213482,0.244047619,0,0.2570819285,0.2406053341,0.2416817907,0.2503677372,0.483974359,0.4884158795,0.4777076617,0.4877153797,0.240928408,0.231177757,0.4869067103,0.4821151358,0.470502132,0.4935636651
0,0,0,0,0,0,0,0,internal standard (ug),19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,19.728,1.97325,1.97325,1.97325,1.97325,1.97325,0,1.97325,1.97325,1.97325,1.97325,1.97325,1.97325,1.97325,1.97325,19.728,19.728,19.728,19.728,19.728,19.728
0,0,0,0,0,0,0,0,sample code,22 11 GC O'R-1 L D,23 12 GC O'R-1 L D,24 GC NBW-2 L-B,25 GC NBW-2 L-B,23 14 GC NBE-1 L D,25 GC NBE-1 L-B,22 11 ER 1-2 L D,23 12 ER 1-2 L D,24 ER 2-1 L-B,25 ER 2-1 L-B,23 14 ER 3-1 L D,24 ER 3-1 L-B,22 11 GC O'R-1 F D,23 12 GC O'R-1 F D,24 GC NBW-2 F-B,24 GC NBW-2 H-B,21 14 GC NBE-1 F D,21 14 GC NBE-1 Fsp D,21 15 GC NBE-1 F D,21 15 GC NBE-1 Fsp D,21 11 ER 1-2 F D,21 11 ER 1-2 Fsp D,21 12 ER 1-2 F D,21 12 ER 1-2 Fsp D,24 ER 2-1 F-B,25 ER 2-1 F-B,24 ER 3-1 F-B,25 ER 3-1 F-B,22 11 GC O'R-1 H D,23 12 GC O'R-1 H D,24 GC NBW-2 H-B,25 GC NBW-2 H-B,23 14 GC NBE-1 H D,25 GC NBE-1 H-B,22 11 ER 1-2 H D,23 12 ER 1-2 H D,24 ER 2-1 H-B,25 ER 2-1 H-B,23 14 ER 3-1 H D,24 ER 3-1 H-B,22 11 GC O'R-1 B-D,23 12 GC O'R-1 B-D,24 GC NBW-2 B-B,25 GC NBW-2 B-B,23 14 GC NBE-1 Bsp-D,0,22 11 ER 1-2 B-D,22 11 ER 1-2 Bsp-D,23 12 ER 1-2 B-D,23 12 ER 1-2 Bsp-D,24 ER 2-1 B-B,25 ER 2-1 B-B,24 ER 3-1 B-B,25 ER 3-1 B-B,21 14 Ref II D,23 14 Ref III sp,24 Ref 7-B,25 Ref 8-B,25 Ref 9-B,25 Ref 10-B
0,0,0,0,0,0,0,0,extraction  batch,11,12,24,25,14,25,11,12,24,25,14,24,11,12,24,24,14,14,15,15,11,11,12,12,24,25,24,25,11,12,24,25,14,25,11,12,24,25,14,24,11,23,24,25,14,0,11,11,12,12,24,25,24,25,14,14,24,25,25,25
0,0,0,0,0,0,0,0,SPE batch,22,23,24,25,23,25,22,23,24,25,23,24,22,23,24,24,21,21,21,21,21,21,21,21,24,25,24,25,22,23,24,25,23,25,22,23,24,25,23,24,22,23,24,25,23,0,22,22,23,23,24,25,24,25,21,23,24,25,25,25
0,0,0,0,0,0,0,0,Region,GC,GC,GC,GC,GC,GC,ER,ER,ER,ER,ER,ER,GC,GC,GC,GC,GC,GC,GC,GC,ER,ER,ER,ER,ER,ER,ER,ER,GC,GC,GC,GC,GC,GC,ER,ER,ER,ER,ER,ER,GC,GC,GC,GC,GC,0,ER,ER,ER,ER,ER,ER,ER,ER,Re,Ref,Ref,Ref,Ref,Ref
0,0,0,0,0,0,0,0,Site,O'R,O'R,NBW,NBW,NBE,NBE,1,1,2,2,3,3,O'R,O'R,NBW,NBW,NBE,NBE,NBE,NBE,1,1,1,1,2,2,3,3,O'R,O'R,NBW,NBW,NBE,NBE,1,1,2,2,3,3,O'R,O'R,NBW,NBW,NBE,0,1,1,1,1,2,2,3,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,Plot,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,0,2,2,2,2,1,1,1,1,0,0,0,0,0,0
