harvest,,temperature,horizon,region,site,resp_act
T2,,5,B,GC,1,1.96
T2,,5,B,GC,2,1.50
T2,,5,B,GC,3,1.31
T2,,10,B,ER,1,3.50
T2,,10,B,ER,2,3.25
T2,,10,B,ER,3,2.95
T2,,10,B,SR,1,2.60
T2,,10,B,SR,2,2.90
T2,,10,B,SR,3,4.26
T2,,10,B,GC,1,2.54
T2,,10,B,GC,2,2.81
T2,,10,B,GC,3,1.81
T2,,15,B,ER,1,6.44
T2,,15,B,ER,2,5.40
T2,,15,B,ER,3,4.07
T2,,15,B,SR,1,3.96
T2,,15,B,SR,2,5.29
T2,,15,B,SR,3,8.03
T2,,15,B,GC,1,4.10
T2,,15,B,GC,2,6.04
T2,,15,B,GC,3,4.04
T2,,5,L,ER,1,15.31
T2,,5,F,ER,1,13.66
T2,,5,H,ER,1,5.40
T2,,5,L,ER,2,36.43
T2,,5,F,ER,2,17.44
T2,,5,H,ER,2,8.75
T2,,5,L,ER,3,16.69
T2,,5,F,ER,3,11.96
T2,,5,H,ER,3,10.75
T2,,5,L,GC,1,32.23
T2,,5,F,GC,1,8.66
T2,,5,H,GC,1,4.61
T2,,5,L,GC,2,17.35
T2,,5,F,GC,2,5.51
T2,,5,H,GC,2,2.09
T2,,5,L,GC,3,20.31
T2,,5,F,GC,3,5.66
T2,,5,H,GC,3,2.62
T2,,10,L,ER,1,22.06
T2,,10,F,ER,1,14.48
T2,,10,H,ER,1,7.39
T2,,10,L,ER,2,47.32
T2,,10,F,ER,2,25.08
T2,,10,H,ER,2,9.48
T2,,10,L,ER,3,39.54
T2,,10,F,ER,3,15.48
T2,,10,H,ER,3,22.42
T2,,10,L,GC,1,40.45
T2,,10,F,GC,1,10.74
T2,,10,H,GC,1,9.52
T2,,10,L,GC,2,30.41
T2,,10,F,GC,2,7.85
T2,,10,H,GC,2,4.20
T2,,10,L,GC,3,31.17
T2,,10,F,GC,3,11.79
T2,,10,H,GC,3,6.83
T2,,15,L,ER,1,41.27
T2,,15,F,ER,1,22.19
T2,,15,H,ER,1,19.08
T2,,15,L,ER,2,64.90
T2,,15,F,ER,2,43.37
T2,,15,H,ER,2,15.92
T2,,15,L,ER,3,34.59
T2,,15,F,ER,3,24.07
T2,,15,H,ER,3,29.38
T2,,15,L,GC,1,40.86
T2,,15,F,GC,1,25.57
T2,,15,H,GC,1,14.09
T2,,15,L,GC,2,50.44
T2,,15,F,GC,2,15.93
T2,,15,H,GC,2,7.93
T2,,15,L,GC,3,49.82
T2,,15,F,GC,3,15.36
T2,,15,H,GC,3,6.67
T3,,5,B,ER,1,1.62
T3,,5,B,ER,2,1.34
T3,,5,B,ER,3,1.15
T3,,5,B,SR,1,1.18
T3,,5,B,SR,2,2.23
T3,,5,B,SR,3,2.35
T3,,5,B,GC,1,1.20
T3,,5,B,GC,2,1.66
T3,,5,B,GC,3,0.97
T3,,10,B,ER,1,3.76
T3,,10,B,ER,2,2.67
T3,,10,B,ER,3,2.83
T3,,10,B,SR,1,2.36
T3,,10,B,SR,2,2.70
T3,,10,B,SR,3,3.71
T3,,10,B,GC,1,2.34
T3,,10,B,GC,2,2.66
T3,,10,B,GC,3,2.00
